model,variable,bin,Count,Count (%),Event rate,WoE,Coefficient,Points
model_a,mort_acc,Missing,50030,0.06032398671256579,0.15284829102538477,0.22667461402237654,-0.4719045395646497,35.0
model_a,acc_open_past_24mths,"(-inf, 1.50)",110577,0.13332891222697157,0.1266990422963184,0.44470639724113314,-0.833034779995599,46.0
model_a,acc_open_past_24mths,"[1.50, 2.50)",106777,0.12874703836113607,0.14528409676241139,0.28631871291165534,-0.833034779995599,42.0
model_a,acc_open_past_24mths,"[2.50, 3.50)",118624,0.14303163301601848,0.16500876719719448,0.13566330778300584,-0.833034779995599,39.0
model_a,acc_open_past_24mths,"[3.50, 4.50)",111580,0.13453828577629603,0.18247893887793512,0.013882591967586233,-0.833034779995599,36.0
model_a,acc_open_past_24mths,"[4.50, 5.50)",94509,0.1139548203121703,0.19779068660127608,-0.08559908042022757,-0.833034779995599,33.0
model_a,acc_open_past_24mths,"[5.50, 6.50)",73587,0.08872798741190444,0.2136790465707258,-0.18286937042228657,-0.833034779995599,31.0
model_a,acc_open_past_24mths,"[6.50, 7.50)",53849,0.06492876994773046,0.22884361826589167,-0.27090700822613134,-0.833034779995599,29.0
model_a,acc_open_past_24mths,"[7.50, 9.50)",62320,0.07514273139970218,0.2498716302952503,-0.38646226603522527,-0.833034779995599,26.0
model_a,acc_open_past_24mths,"[9.50, inf)",47502,0.0572758348355047,0.28731421834870113,-0.5772951403403445,-0.833034779995599,22.0
model_a,acc_open_past_24mths,Special,0,0.0,0.0,0.0,-0.833034779995599,35.0
model_a,acc_open_past_24mths,Missing,50030,0.06032398671256579,0.15284829102538477,0.22667461402237654,-0.833034779995599,35.0
model_a,bc_util,"(-inf, 20.85)",65865,0.0794171374140145,0.14733166325058833,0.26992508382715674,-0.43174468736928373,39.0
model_a,bc_util,"[20.85, 32.65)",56432,0.06804323842021812,0.1513148568188262,0.23856614066725057,-0.43174468736928373,38.0
model_a,bc_util,"[32.65, 43.95)",71043,0.08566054343435561,0.16252128992300438,0.153827524115709,-0.43174468736928373,37.0
model_a,bc_util,"[43.95, 53.55)",71279,0.08594510191654961,0.17143899325186943,0.08970368013742713,-0.43174468736928373,37.0
model_a,bc_util,"[53.55, 63.95)",86660,0.10449083926665903,0.18150242326332794,0.02044212090506181,-0.43174468736928373,36.0
model_a,bc_util,"[63.95, 72.85)",81386,0.09813168064339155,0.18622367483350946,-0.011022271017392837,-0.43174468736928373,35.0
model_a,bc_util,"[72.85, 87.65)",151706,0.18292046228695794,0.19492966659196076,-0.06746847542052836,-0.43174468736928373,35.0
model_a,bc_util,"[87.65, 92.95)",64404,0.0776555274882288,0.20604310291286254,-0.13681552071234004,-0.43174468736928373,34.0
model_a,bc_util,"[92.95, 97.95)",76620,0.09238504621060944,0.22097363612633777,-0.22575782268879552,-0.43174468736928373,33.0
model_a,bc_util,"[97.95, inf)",45969,0.05542741045752422,0.2420326741934782,-0.3441917658118716,-0.43174468736928373,31.0
model_a,bc_util,Special,0,0.0,0.0,0.0,-0.43174468736928373,35.0
model_a,bc_util,Missing,57991,0.06992301246149116,0.1598868789984653,0.17331068134405436,-0.43174468736928373,35.0
model_a,tot_cur_bal,"(-inf, 86768.50)",395788,0.47722386673981587,0.20742164997422863,-0.14522162298729113,-0.35905337899523393,34.0
model_a,tot_cur_bal,"[86768.50, 115996.50)",44233,0.05333421755460569,0.19799697058757038,-0.08689865569102673,-0.35905337899523393,35.0
model_a,tot_cur_bal,"[115996.50, 161860.50)",67296,0.08114257465138572,0.18651925820256776,-0.01297155213846124,-0.35905337899523393,35.0
model_a,tot_cur_bal,"[161860.50, 192149.50)",44194,0.05328719305966685,0.17443544372539257,0.06875342938253182,-0.35905337899523393,36.0
model_a,tot_cur_bal,"[192149.50, 225189.50)",41505,0.05004491442144799,0.17065413805565594,0.09523903771837694,-0.35905337899523393,36.0
model_a,tot_cur_bal,"[225189.50, 265639.50)",41768,0.05036202832321503,0.15554970312200728,0.20596125429739343,-0.35905337899523393,38.0
model_a,tot_cur_bal,"[265639.50, 410896.50)",82630,0.09963164145631244,0.14719835410867724,0.27098664813158235,-0.35905337899523393,38.0
model_a,tot_cur_bal,"[410896.50, inf)",41665,0.050237835426325275,0.12310092403696148,0.4776280571176399,-0.35905337899523393,40.0
model_a,tot_cur_bal,Special,0,0.0,0.0,0.0,-0.35905337899523393,35.0
model_a,tot_cur_bal,Missing,70276,0.08473572836722514,0.15764983778245772,0.19006013003376676,-0.35905337899523393,35.0
model_a,total_rev_hi_lim,"(-inf, 6227.50)",42065,0.05072013793851849,0.2151432307143706,-0.19156206442322654,-0.4484392526040219,33.0
model_a,total_rev_hi_lim,"[6227.50, 19255.00)",264278,0.31865485829349316,0.20295295105911199,-0.11781978475957544,-0.4484392526040219,34.0
model_a,total_rev_hi_lim,"[19255.00, 25964.50)",115018,0.13868367586859667,0.19883844267853729,-0.09218933825620956,-0.4484392526040219,34.0
model_a,total_rev_hi_lim,"[25964.50, 30926.50)",66892,0.08065544911407058,0.19181665969024697,-0.04751038962836773,-0.4484392526040219,35.0
model_a,total_rev_hi_lim,"[30926.50, 34972.00)",43430,0.05236599526137782,0.18627676721160488,-0.011372574536776536,-0.4484392526040219,35.0
model_a,total_rev_hi_lim,"[34972.00, 39802.50)",43182,0.05206696770381803,0.18213607521652542,0.016182587547835636,-0.4484392526040219,36.0
model_a,total_rev_hi_lim,"[39802.50, 46422.00)",45114,0.054396488837711233,0.16934876091678858,0.10449044563996512,-0.4484392526040219,37.0
model_a,total_rev_hi_lim,"[46422.00, 55182.50)",41743,0.050331884416202954,0.16536904391155402,0.13305074190503707,-0.4484392526040219,37.0
model_a,total_rev_hi_lim,"[55182.50, 70700.50)",42524,0.0512735800712602,0.14892766437776314,0.2572771012442019,-0.4484392526040219,39.0
model_a,total_rev_hi_lim,"[70700.50, inf)",54833,0.06611523412772577,0.12342932175879488,0.47458932885593086,-0.4484392526040219,42.0
model_a,total_rev_hi_lim,Special,0,0.0,0.0,0.0,-0.4484392526040219,35.0
model_a,total_rev_hi_lim,Missing,70276,0.08473572836722514,0.15764983778245772,0.19006013003376676,-0.4484392526040219,35.0
model_a,mo_sin_old_rev_tl_op,"(-inf, 62.50)",41559,0.05011002526059408,0.24627637816116846,-0.36718795258248815,-0.4298824452993513,31.0
model_a,mo_sin_old_rev_tl_op,"[62.50, 93.50)",63413,0.07646062301427013,0.21236970337312538,-0.17505913701792974,-0.4298824452993513,33.0
model_a,mo_sin_old_rev_tl_op,"[93.50, 122.50)",101715,0.12264350006933099,0.20648871847810057,-0.13953733191501838,-0.4298824452993513,34.0
model_a,mo_sin_old_rev_tl_op,"[122.50, 133.50)",43989,0.05304001302216783,0.19923162608834027,-0.09465567430640265,-0.4298824452993513,34.0
model_a,mo_sin_old_rev_tl_op,"[133.50, 144.50)",43522,0.05247692483918225,0.1938789577684849,-0.06075943797093819,-0.4298824452993513,35.0
model_a,mo_sin_old_rev_tl_op,"[144.50, 164.50)",78850,0.09507388271608659,0.18659480025364616,-0.013469346587355657,-0.4298824452993513,35.0
model_a,mo_sin_old_rev_tl_op,"[164.50, 181.50)",64317,0.07755062669182679,0.18054324673103533,0.02691197118684263,-0.4298824452993513,36.0
model_a,mo_sin_old_rev_tl_op,"[181.50, 233.50)",136716,0.16484617564251738,0.1765192077006349,0.054351218566612625,-0.4298824452993513,36.0
model_a,mo_sin_old_rev_tl_op,"[233.50, 261.50)",50748,0.0611897197219526,0.16666666666666666,0.12367860207617376,-0.4298824452993513,37.0
model_a,mo_sin_old_rev_tl_op,"[261.50, inf)",134249,0.16187157489856574,0.15763245908721854,0.19019100314704396,-0.4298824452993513,38.0
model_a,mo_sin_old_rev_tl_op,Special,0,0.0,0.0,0.0,-0.4298824452993513,35.0
model_a,mo_sin_old_rev_tl_op,Missing,70277,0.08473693412350562,0.15766182392532407,0.18996987325316472,-0.4298824452993513,35.0
model_a,loan_to_income,"(-inf, 0.06)",42824,0.0516353069554051,0.1111526246964319,0.5932619749593468,-0.4962304420037773,44.0
model_a,loan_to_income,"[0.06, 0.12)",140541,0.16945819341536494,0.12764246732270298,0.43620691250787513,-0.4962304420037773,42.0
model_a,loan_to_income,"[0.12, 0.16)",120638,0.1454600261649113,0.14316384555446873,0.3034976574795898,-0.4962304420037773,40.0
model_a,loan_to_income,"[0.16, 0.19)",82653,0.09965937385076354,0.15878431514887542,0.18154200626968886,-0.4962304420037773,38.0
model_a,loan_to_income,"[0.19, 0.24)",122540,0.14775337461039,0.17862738697568142,0.039915549567271835,-0.4962304420037773,36.0
model_a,loan_to_income,"[0.24, 0.26)",50606,0.061018502330124014,0.19754574556376714,-0.08405464142468122,-0.4962304420037773,34.0
model_a,loan_to_income,"[0.26, 0.30)",62717,0.07562141664305394,0.2129087807133632,-0.17827897546881633,-0.4962304420037773,33.0
model_a,loan_to_income,"[0.30, 0.33)",67295,0.08114136889510523,0.24035961066944053,-0.33505034067561157,-0.4962304420037773,31.0
model_a,loan_to_income,"[0.33, 0.40)",72971,0.08798524154312688,0.2671335187951378,-0.4765443827452993,-0.4962304420037773,29.0
model_a,loan_to_income,"[0.40, inf)",66564,0.08025996105407214,0.2863860344931194,-0.572757830439195,-0.4962304420037773,27.0
model_a,loan_to_income,Special,0,0.0,0.0,0.0,-0.4962304420037773,35.0
model_a,loan_to_income,Missing,6,7.234537682898156e-06,0.16666666666666666,0.12367860207617376,-0.4962304420037773,35.0
model_a,home_ownership,"ANY, NONE, MORTGAGE",410765,0.49528247855261015,0.16334643896144999,0.14777743112264674,-0.5863077340052172,38.0
model_a,home_ownership,OWN,81609,0.09840056429393927,0.19010158193336518,-0.03640905139524331,-0.5863077340052172,35.0
model_a,home_ownership,"OTHER, RENT",336981,0.40631695715345056,0.20907410210071192,-0.15524377315257332,-0.5863077340052172,33.0
model_a,home_ownership,Special,0,0.0,0.0,0.0,-0.5863077340052172,35.0
model_a,home_ownership,Missing,0,0.0,0.0,0.0,-0.5863077340052172,35.0
model_a,verification_status,Not Verified,245928,0.2965292305466296,0.13544614683972545,0.3678801657998767,-0.26270028429761383,38.0
model_a,verification_status,Source Verified,308819,0.3723604487824876,0.19840748140496536,-0.08948181599510563,-0.26270028429761383,35.0
model_a,verification_status,Verified,274608,0.3311103206708828,0.21296903222047428,-0.1786384800698193,-0.26270028429761383,34.0
model_a,verification_status,Special,0,0.0,0.0,0.0,-0.26270028429761383,35.0
model_a,verification_status,Missing,0,0.0,0.0,0.0,-0.26270028429761383,35.0
