model,variable,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV
model_a,inq_last_6mths,,829355,1.0,676290,153065,0.18455908507213437,,0.028421160850048716
model_a,open_acc,"(-inf, 5.50)",72148,0.08699290412428935,60460,11688,0.16200033264955369,0.1576600045449872,0.002055855163431743
model_a,open_acc,"[5.50, 6.50)",52959,0.06385564685810058,44122,8837,0.1668649332502502,0.12225176137977734,0.0009178173349846233
model_a,open_acc,"[6.50, 7.50)",64083,0.07726847972219375,53119,10964,0.17109061685626453,0.09215819089130939,0.000637274567516091
model_a,open_acc,"[7.50, 8.50)",72182,0.08703389983782578,59563,12619,0.1748219777783935,0.06607165089403333,0.0003720537025572744
model_a,open_acc,"[8.50, 9.50)",75426,0.09094537321171271,61825,13601,0.1803224352345345,0.028405183598937178,7.272317877101378e-05
model_a,open_acc,"[9.50, 10.50)",73359,0.0884530749799543,59888,13471,0.18363118363118364,0.006177614087715666,3.369051362931248e-06
model_a,open_acc,"[10.50, 11.50)",67617,0.08152962241742076,54953,12664,0.18729017850540544,-0.01804435849082231,2.6697187319567086e-05
model_a,open_acc,"[11.50, 15.50)",194390,0.23438696336309542,157106,37284,0.1917999897114049,-0.04740285379032083,0.0005345678571862627
model_a,open_acc,"[15.50, 18.50)",76480,0.09221624033134182,61460,15020,0.19639121338912133,-0.07675539999157666,0.0005564822227902856
model_a,open_acc,"[18.50, inf)",80682,0.0972828282219315,63768,16914,0.2096378374358593,-0.15864949459233468,0.0025718929084318923
model_a,open_acc,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,open_acc,Missing,29,3.4966932134007754e-05,26,3,0.10344827586206896,0.6737249389954456,1.2696703023496919e-05
model_a,open_acc,,829355,1.0,676290,153065,0.18455908507213437,,0.007761429877375182
model_a,pub_rec,"(-inf, 0.50)",701074,0.845324378583357,574986,126088,0.17984977334774932,0.03160630644368401,0.0008360392214677035
model_a,pub_rec,"[0.50, inf)",128252,0.15464065448450903,101278,26974,0.2103203068957989,-0.16276353848709246,0.004308432885744467
model_a,pub_rec,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,pub_rec,Missing,29,3.4966932134007754e-05,26,3,0.10344827586206896,0.6737249389954456,1.2696703023496919e-05
model_a,pub_rec,,829355,1.0,676290,153065,0.18455908507213437,,0.005157168810235668
model_a,pub_rec_bankruptcies,"(-inf, 0.50)",734575,0.8857184197358188,601538,133037,0.18110744307933158,0.023103113434886247,0.00046931453405196674
model_a,pub_rec_bankruptcies,"[0.50, inf)",93415,0.11263572294132188,73721,19694,0.2108226730182519,-0.1657856336339809,0.0032587359624284885
model_a,pub_rec_bankruptcies,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,pub_rec_bankruptcies,Missing,1365,0.0016458573228593303,1031,334,0.24468864468864468,-0.35861581931766695,0.00023582059103635723
model_a,pub_rec_bankruptcies,,829355,1.0,676290,153065,0.18455908507213437,,0.003963871087516812
model_a,revol_bal,"(-inf, 18618.50)",592880,0.7148687835727764,481269,111611,0.1882522601538254,-0.024352556413902215,0.000427211427056044
model_a,revol_bal,"[18618.50, 24303.50)",82508,0.09948453919009351,67029,15479,0.18760605032239297,-0.020118215384207883,4.0521416659061556e-05
model_a,revol_bal,"[24303.50, 29040.50)",45291,0.05460990769935673,37192,8099,0.17882139939502328,0.038593776763504284,8.035215871431649e-05
model_a,revol_bal,"[29040.50, 35972.50)",42448,0.051181942593943486,34994,7454,0.17560309084055786,0.060666506807434795,0.0001847785830215679
model_a,revol_bal,"[35972.50, inf)",66228,0.07985482694382984,55806,10422,0.15736546475810836,0.1922031236434354,0.0027733246816661317
model_a,revol_bal,Special,0,0.0,0,0,0.0,0.0,0.0
model_a,revol_bal,Missing,0,0.0,0,0,0.0,0.0,0.0
model_a,revol_bal,,829355,1.0,676290,153065,0.18455908507213437,,0.0035061882671171218
model_a,revol_util,"(-inf, 15.45)",49512,0.05969940495927558,42864,6648,0.13427047988366456,0.37795694489117926,0.007539698775009659
model_a,revol_util,"[15.45, 23.55)",43542,0.05250103996479192,37139,6403,0.14705341968673924,0.27214168951939155,0.003560671680656155
model_a,revol_util,"[23.55, 32.95)",72817,0.0877995550759325,61185,11632,0.1597429171759342,0.1743828302885413,0.0025246595912362547
model_a,revol_util,"[32.95, 38.55)",54779,0.06605012328857968,45582,9197,0.16789280563719675,0.11487624747065239,0.0008402617712662431
